ours_model,baseline_model,metric,n_pairs,baseline_minus_ours_mean,baseline_minus_ours_median,bootstrap95_low,bootstrap95_high,paired_t_p,wilcoxon_p,direction_good_for_ours,paired_t_p_fdr,wilcoxon_p_fdr
prior_init_diffusion_unet,explicit_residual_target_diffusion,ence,25,-11.891698770394804,-11.238636714099083,-12.735122525363115,-11.135751150313077,5.853475878766874e-20,5.960464477539063e-08,False,2.0487165575684058e-19,9.881822686446341e-08
prior_init_diffusion_unet,explicit_residual_target_diffusion,ause_abs_error,25,0.004719776156554956,0.0045559172162943015,0.003726092021315153,0.005719976010601886,3.3024964471382953e-09,5.960464477539063e-08,True,5.334801953069554e-09,9.881822686446341e-08
prior_init_diffusion_unet,explicit_residual_target_diffusion,width90_norm,25,0.16010433554649353,0.16225316375494,0.14363219485804443,0.17776537061110137,1.8072686331800298e-15,5.960464477539063e-08,True,3.300229677980924e-15,9.881822686446341e-08
prior_init_diffusion_unet,residual_likelihood_guided_diffusion,mae_kpa,25,-7.4920654296875e-05,9.250640869140625e-05,-0.0002955253124236532,0.00013083577156060056,0.5073661813476786,0.8948604464530945,False,0.560773147805329,0.9242001332220484
prior_init_diffusion_unet,residual_likelihood_guided_diffusion,rmse_kpa,25,-0.00019091078924081018,0.00016840420642516563,-0.0006427458767362806,0.00021984816790190546,0.4047470074655062,0.8119303584098816,False,0.4553403833986945,0.8525268763303757
prior_init_diffusion_unet,residual_likelihood_guided_diffusion,mae_norm,25,-8.714199066239825e-07,-3.367662429892837e-06,-1.0242626070985444e-05,8.856959640962961e-06,0.8641230573010091,0.7509929537773132,False,0.8669874458657485,0.8157337256546678
prior_init_diffusion_unet,residual_likelihood_guided_diffusion,rmse_norm,25,-6.2235205776217664e-06,-8.081956093974885e-06,-1.1900891569505635e-05,-5.982565956550462e-07,0.04574131054465762,0.06670159101486206,False,0.052394592078426,0.07640364061702382
prior_init_diffusion_unet,residual_likelihood_guided_diffusion,crps_norm,25,-9.495019912758584e-07,-5.416572094005256e-06,-1.1435516178616795e-05,9.972251951703631e-06,0.8669874458657485,0.507703959941864,False,0.8669874458657485,0.571166954934597
prior_init_diffusion_unet,residual_likelihood_guided_diffusion,uce,25,3.172668891660013e-05,1.778378058510388e-05,-7.12898806140626e-05,0.00015638147228365615,0.6025095514879495,0.936802864074707,True,0.6544500300644969,0.9519125876888153
prior_init_diffusion_unet,residual_likelihood_guided_diffusion,ence,25,0.0037364569304696007,-7.584348653288941e-05,-0.01726203421082854,0.02766747339105979,0.7501413926028017,1.0,True,0.7854770191476171,1.0
prior_init_diffusion_unet,residual_likelihood_guided_diffusion,ause_abs_error,25,-9.59395062682021e-06,-2.66814222368017e-05,-6.818485990640701e-05,5.1758830768555275e-05,0.7605412407619785,0.6338268518447876,False,0.7854770191476171,0.7005454678284494
