case_id,config_id,split_id,seed_id,depth_group,operator,method,source_label,true_zbottom_mm,true_ztop_mm,true_thickness_mm,posterior_mean_zbottom_mm,posterior_std_zbottom_mm,posterior_q025_mm,posterior_q05_mm,posterior_q10_mm,posterior_q25_mm,posterior_q50_mm,posterior_q75_mm,posterior_q90_mm,posterior_q95_mm,posterior_q975_mm,cov50,cov80,cov90,cov95,width50_mm,width80_mm,width90_mm,width95_mm,pit,crps_mm,wis90_mm,absolute_error_mm,squared_error_mm2,bias_mm,interval_iou,d_out_mm,failure_label_tau_0p5mm,failure_label_tau_1mm,failure_label_tau_2mm,forward_residual,calibration_scale
eval_000,shallow_0231,train,20260532,shallow,PIEZO,direct_scalar_regression,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,3.795792579650879,0.5456407070159912,2.8276626408100127,2.9327816367149353,3.1383132219314573,3.3786299228668213,3.831923484802246,4.092991948127747,4.522781562805176,4.680886936187743,4.885777080059052,False,False,False,False,0.7143620252609253,1.3844683408737186,1.7481052994728081,2.058114439249039,0.0,1.702412654289474,26.74155004555456,2.010358699983298,4.0415421025985365,2.010358699983298,0.0,0.0,True,True,True,0.1875416607471723,0.8500000000000001
eval_000,shallow_0231,train,20260533,shallow,PIEZO,direct_scalar_regression,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,3.532020092010498,0.5709952116012573,2.4770154774188997,2.536092162132263,2.7082176685333255,3.211982011795044,3.534165143966675,3.955487847328186,4.237392473220825,4.46747417449951,4.57032277584076,False,False,False,False,0.7435058355331421,1.5291748046874996,1.931382012367247,2.09330729842186,0.0,1.4250905609735858,18.693278925959987,1.7465862123429172,3.050563397146378,1.7465862123429172,0.0,0.0,True,True,False,0.17372430455644625,0.8500000000000001
eval_000,shallow_0231,train,20260531,shallow,PIEZO,unet_3d,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.2095630168914795,0.18939414620399475,0.8325956732034683,0.879340860247612,0.9382839918136597,1.0914826393127441,1.2037005424499512,1.3398664891719818,1.4479803800582887,1.5074726700782775,1.5890098512172701,False,False,False,False,0.24838384985923767,0.5096963882446289,0.6281318098306654,0.7564141780138018,1.0,0.4690828945601613,6.7690893388343625,0.5758708627761013,0.33162725059449133,-0.5758708627761013,0.5952122689768561,0.0,True,False,False,0.10776486736023992,1.9750000000000005
eval_000,shallow_0231,train,20260532,shallow,PIEZO,unet_3d,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.2185297012329102,0.16160669922828674,0.9259520411491394,0.9491969794034958,1.0033030033111572,1.11245396733284,1.210214614868164,1.3497207462787628,1.423813569545746,1.4748792827129362,1.5008293002843858,False,False,False,False,0.23726677894592285,0.4205105662345887,0.5256823033094404,0.5748772591352463,1.0,0.47509986286215344,7.311993507201749,0.5669041784346707,0.3213803475266889,-0.5669041784346707,0.6011724723818267,0.0,True,False,False,0.1116020619360421,1.9750000000000005
eval_000,shallow_0231,train,20260533,shallow,PIEZO,unet_3d,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.3520712852478027,0.17896078526973724,1.9723203271627425,2.037781095504761,2.1375819206237794,2.243145763874054,2.3514615297317505,2.4711740612983704,2.5901922464370726,2.633050191402435,2.69786896109581,False,False,False,False,0.2280282974243164,0.4526103258132932,0.5952690958976743,0.7255486339330677,0.0,0.4657121158527655,6.208241062705444,0.5666374055802219,0.3210779494026849,0.5666374055802219,0.4974043873055331,0.0,True,False,False,0.10470363199364144,1.9750000000000005
eval_000,shallow_0231,train,20260531,shallow,PIEZO,kernel_gp,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.341286063194275,0.3622540533542633,0.6231714993715286,0.6498573333024978,0.8424360096454621,1.1145213842391968,1.3458426594734192,1.6129302680492401,1.8077407240867613,1.9020223200321196,1.9635862112045288,False,True,True,True,0.49840888381004333,0.9653047144412993,1.2521649867296216,1.340414711833,0.890625,0.2649913196078449,1.6917562069237833,0.4441478164733059,0.19726728287800543,-0.4441478164733059,0.6898712381290423,0.0,False,False,False,0.09873334375731742,0.675
eval_000,shallow_0231,train,20260532,shallow,PIEZO,kernel_gp,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.428678274154663,0.33440595865249634,0.8235337138175964,0.8821377336978913,0.9492732107639312,1.2160521745681763,1.467567801475525,1.6334873735904694,1.8096873044967652,1.9645048975944517,2.0473822116851808,False,True,True,True,0.4174351990222931,0.860414093732834,1.0823671638965604,1.2238484978675843,0.8671875,0.21633218584285707,1.4002332420886163,0.35675560551291774,0.12727456206488857,-0.35675560551291774,0.7468034905134446,0.0,False,False,False,0.10063976736367432,0.675
eval_000,shallow_0231,train,20260533,shallow,PIEZO,kernel_gp,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.416402816772461,0.3429916501045227,0.846548818051815,0.8975596010684967,1.0084839820861817,1.196841299533844,1.3929225206375122,1.6181763410568237,1.79969562292099,1.9291818439960478,2.188489639759064,False,True,True,True,0.42133504152297974,0.7912116408348082,1.031622242927551,1.341940821707249,0.875,0.23916275377795548,1.4241336019576196,0.3690310628951199,0.13618392538150192,-0.3690310628951199,0.7397611677740308,0.0,False,False,False,0.09523218010620059,0.675
eval_000,shallow_0231,train,20260531,shallow,PIEZO,vanilla_3d_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,2.22251558303833,0.477622389793396,1.373509168624878,1.4209445655345916,1.5686566352844238,1.818402737379074,2.21704363822937,2.6025466322898865,2.853770303726196,2.9947595596313477,3.1212309896945953,False,True,True,True,0.7841438949108124,1.2851136684417723,1.573814994096756,1.7477218210697174,0.2265625,0.24801052608384244,2.0054247526585454,0.43708170337074925,0.19104041542147565,0.43708170337074925,0.5671508595442876,0.0,False,False,False,0.09674168987210828,0.4
eval_000,shallow_0231,train,20260532,shallow,PIEZO,vanilla_3d_diffusion,SIMULATED_BENCHMARK,1.7854338796675808,0.15,1.635433879667581,1.32218599319458,0.4252198338508606,0.8333115577697754,0.8333115577697754,0.8333115577697754,0.9618058502674103,1.2218961119651794,1.559155911207199,2.010151934623718,2.1438663005828857,2.240265256166458,False,True,True,True,0.5973500609397888,1.1768403768539426,1.3105547428131104,1.4069536983966828,0.8203125,0.32343916976623954,1.8740925105155117,0.46324788647300075,0.2145986043217022,-0.46324788647300075,0.6968639912653671,0.0,False,False,False,0.10150923911820009,0.4
