r_mm,MMP,PIEZO,US
3.9245283018867925,0.0002011708873709382,1.2838016970891777e-12,0.061486341088761706
3.9622641509433962,0.00015081248386656626,7.563377502968902e-13,0.058260465116530005
4.0,0.00011286908648171409,4.433377746328046e-13,0.055175372838094545
4.037735849056603,8.438711155979163e-05,2.5855612128698853e-13,0.05222670622803149
4.0754716981132075,6.307483151011601e-05,1.500292847479808e-13,0.04941013372793825
4.113207547169811,4.7167347759162935e-05,8.661605132099324e-14,0.046721357523212895
4.150943396226415,3.531513174450982e-05,4.975329534429555e-14,0.0441561203446421
4.188679245283018,2.649316933167827e-05,2.843455581569571e-14,0.04171021179995818
4.226415094339623,1.992777504711167e-05,1.6168590930890948e-14,0.03937947424189212
4.264150943396226,1.5038300703006702e-05,9.147428552128803e-15,0.03715980818052224
4.30188679245283,1.1391202218787727e-05,5.149048780334436e-15,0.035047177248883114
4.339622641509433,8.664211726493793e-06,2.8837400826158247e-15,0.033037612731870725
4.377358490566038,6.618661121246628e-06,1.6068907445891763e-15,0.031127217669443836
4.415094339622641,5.078297667983941e-06,8.908769290781548e-16,0.02931217054599459
4.452830188679245,3.91320837796837e-06,4.914170298625422e-16,0.027588728578530033
4.4905660377358485,3.0277193368321655e-06,2.697017849841321e-16,0.025953230616987354
4.528301886792453,2.351354922889761e-06,1.4727145123098545e-16,0.02440209967058696
4.566037735849056,1.8321289132538947e-06,8.001187350156454e-17,0.02293184507462624
4.60377358490566,1.4315959769700162e-06,4.325053066841792e-17,0.021539064312522057
4.641509433962264,1.1212204816101255e-06,2.3261063606553198e-17,0.02022044450823813
4.679245283018868,8.797231053125498e-07,1.2447118518680835e-17,0.018972763604475987
4.716981132075471,6.911479417783548e-07,6.6268815554980814e-18,0.017792891242179157
4.754716981132075,5.434570685403399e-07,3.510352420553916e-18,0.016677789356995237
4.792452830188679,4.275091412485433e-07,1.8500921404936154e-18,0.0156245125083697
4.830188679245283,3.3631635284086166e-07,9.701460605167115e-19,0.014630207956907943
