figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,MAE_kPa,RMSE_kPa,SSIM_proxy,CRPS_kPa,Cov90,Width90_kPa
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,12,12,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,18.483523476614977,23.126317159640124,0.39441474137055066,12.979380509581372,0.8815104166666666,72.50740123098797
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,12,12,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,15.359080035989528,19.284100228076724,0.26892727110742615,10.747154947249987,0.9490451388888889,57.93980151994219
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,12,12,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,15.777460278877516,19.89615453511193,0.2906990036111299,10.988322687708212,0.90859375,62.361642715765825
Figure 2,2D,US,ultrasound,U-Net,U-Net,12,12,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,39.18842178715395,63.585405535982126,0.3486114894061072,33.21902515098883,0.7020833333333333,62.43347547330922
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,12,36,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,5.619506682240461,24.30352533399688,0.5851096998213408,18.319226137802275,1.0,207.16418691429587
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,12,36,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,63.73842698819234,77.50451312065415,0.16794962415769402,44.87895004110279,0.7635416666666667,207.16418691429587
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,12,36,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,65.73839259855617,80.6494767618861,0.14365886665604305,46.8123859101349,0.7236979166666667,207.16418691429587
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,12,12,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,16.63802644140061,19.31430298569845,-0.5848343394353184,10.951726621883562,0.93671875,57.80828160999822
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,12,12,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,15.292265421771983,18.992078375891417,0.30536962547929747,10.621244720815387,0.9147569444444444,61.92827898212189
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,12,12,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,38.683884715560765,61.428713181025174,0.3303519846889583,32.6837216002658,0.6985243055555556,61.414151100206404
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,12,36,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,4.354038058357615,13.19965958735472,0.7173361898865348,6.776653832095893,0.8509548611111111,33.461439172256505
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,12,36,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,12.460966644614658,17.164667065353676,0.6303755804813848,9.701812760464433,0.6873263888888889,33.461439172256505
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,12,36,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,12.593603316035797,17.39509900603017,0.6166809337519261,9.795695212435277,0.6878472222222223,33.461439172256505
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,24,24,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,10.6125828806327,13.203591166824223,0.03663582994001091,7.081439866148404,0.9401909722222223,37.029959793869224
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,24,24,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,11.288874210443216,14.97292548627235,0.3735017175890864,8.037055557928406,0.88671875,46.44873303408513
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,24,24,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,13.62448661489955,18.529113238218905,0.49286464385962814,10.108085318140933,0.8808159722222222,61.52375426127398
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,24,24,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,10.07886050370207,13.42632903961417,0.29920997579162567,7.142938250449662,0.9423611111111111,35.11148241705638
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,24,24,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,11.182170455061275,14.688604578123734,0.409428311956266,8.021295845550695,0.8477430555555555,41.28158712642596
Figure 2,2D,US,ultrasound,U-Net,U-Net,24,24,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,15.551475773632582,24.288036423036523,0.5089948264637837,12.04978249997086,0.8001736111111111,45.431143603534764
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,24,72,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,6.404085247723862,25.71563141745641,0.5535995175502948,18.46756946403586,1.0,201.27104878345267
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,24,72,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,63.81873903407656,74.63185468643061,0.18608332030704836,43.617001475969865,0.7863715277777777,201.27104878345267
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,24,72,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,66.14695944280045,77.98273645504591,0.16011770827015892,45.73233059531465,0.7559027777777778,201.27104878345267
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,24,24,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,10.508752718386031,12.929451895424076,-0.5153350783027937,7.043564774511295,0.9377604166666667,35.04276207242794
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,24,24,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,10.870593764005559,14.340373264469713,0.4182132443653936,7.851411226345237,0.8425347222222223,40.598068843907335
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,24,24,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,14.70951726194555,22.63750050125165,0.5110798153665189,11.411341098295381,0.7901041666666667,44.342170095116
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,24,72,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,3.0534572469193786,9.981814904955987,0.7917635265817454,4.826636817524029,0.9134548611111111,29.62148910862104
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,24,72,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,9.936572310108302,14.557373504655818,0.7082889665916222,7.829718356367933,0.7394097222222222,29.62148910862104
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,24,72,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,10.003011564351183,14.888373355199501,0.6929529815922004,7.940231199997259,0.7410590277777778,29.62148910862104
Figure 2,2D,MMP,soft MMP,SRCNN,SRCNN,48,48,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.405181638252929,8.864028712575541,0.1752278037987875,4.854613225793148,0.9552083333333333,26.952429934427013
Figure 2,2D,PIEZO,sheet piezo,SRCNN,SRCNN,48,48,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,8.934385409250442,12.045982731076844,0.6037938759091612,6.558322097143155,0.90859375,42.707903407276774
Figure 2,2D,US,ultrasound,SRCNN,SRCNN,48,48,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,12.248944759929463,17.026500056467462,0.587676973337971,9.18762320716389,0.8865451388888889,57.267791980790165
Figure 2,2D,MMP,soft MMP,U-Net,U-Net,48,48,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.1337891853434545,8.94881954396814,0.4810796916065867,4.968573695779742,0.9368923611111111,24.375803917866598
Figure 2,2D,PIEZO,sheet piezo,U-Net,U-Net,48,48,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,8.607012473209432,11.476694130647923,0.5536187292890856,6.302072444367857,0.8505208333333333,33.632550289812784
Figure 2,2D,US,ultrasound,U-Net,U-Net,48,48,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,17.135129423922727,29.394599512138623,0.5954741523710239,13.693692484823151,0.7673611111111112,41.318269167144756
Figure 2,2D,MMP,soft MMP,vanilla_diffusion,vanilla diffusion,48,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.7777662833950405,33.240331418015664,0.5915870645758012,21.140681249024603,1.0,203.56012677138006
Figure 2,2D,PIEZO,sheet piezo,vanilla_diffusion,vanilla diffusion,48,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,65.36666784421887,70.27335053395902,0.2672942503527015,42.03983525587249,0.8826388888888889,203.56012677138006
Figure 2,2D,US,ultrasound,vanilla_diffusion,vanilla diffusion,48,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,67.52126758309603,72.76517991012345,0.24980398317921554,43.73095262440302,0.8606770833333334,203.56012677138006
Figure 2,2D,MMP,soft MMP,DPS_inverse_diffusion,DPS inverse diffusion,48,48,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,7.4621794793111755,8.822027162662897,-0.3428331554531499,4.965633083666206,0.9269097222222222,24.21054016942184
Figure 2,2D,PIEZO,sheet piezo,DPS_inverse_diffusion,DPS inverse diffusion,48,48,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,8.68087509422613,11.761738996037153,0.5704442069510954,6.410537569279386,0.8287326388888889,31.692294594617117
Figure 2,2D,US,ultrasound,DPS_inverse_diffusion,DPS inverse diffusion,48,48,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,16.024931936818888,29.84375106887154,0.602494715853484,12.999009649554303,0.7755208333333333,38.182235247317365
Figure 2,2D,MMP,soft MMP,operator_conditioned_diffusion,operator-conditioned diffusion,48,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps+mmp_full_endpoint_anchor,2.3265179033705823,7.579060587323235,0.8683086260236558,4.20977967736226,0.965625,37.640572268082344
Figure 2,2D,PIEZO,sheet piezo,operator_conditioned_diffusion,operator-conditioned diffusion,48,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,8.904732955371177,13.216596116995456,0.7768785500901081,7.041472301094983,0.83671875,37.640572268082344
Figure 2,2D,US,ultrasound,operator_conditioned_diffusion,operator-conditioned diffusion,48,144,20260605,45,fast_surrogate_benchmark_from_207_lesion_maps,9.17696969623258,13.831050548502146,0.7657148779639895,7.341221468037492,0.81796875,37.640572268082344
