operator,method,seed_id,coverage_fraction,risk_mae_mm,oracle_risk_mae_mm
US,direct_scalar_regression,20260531,0.75,1.1087826025615009,1.0115476020508585
US,direct_scalar_regression,20260531,0.8,1.1584893280996411,1.0698958283212583
US,direct_scalar_regression,20260531,0.8500000000000001,1.2007364039671484,1.1312516256919405
US,direct_scalar_regression,20260531,0.9000000000000001,1.2456285359030346,1.1949836480354554
US,direct_scalar_regression,20260531,0.95,1.311294253169789,1.2789854650073018
US,direct_scalar_regression,20260531,1.0,1.3722852134448416,1.3722852134448418
US,direct_scalar_regression,20260532,0.2,1.7758211097518712,0.2506436106856638
US,direct_scalar_regression,20260532,0.25,1.6475526314291618,0.3195534339414272
US,direct_scalar_regression,20260532,0.30000000000000004,1.5780090148495358,0.40449649479186434
US,direct_scalar_regression,20260532,0.35000000000000003,1.4883036348760956,0.48224724992511886
US,direct_scalar_regression,20260532,0.4,1.3835809820245077,0.5610745390109804
US,direct_scalar_regression,20260532,0.45,1.2809235980624916,0.6398782090624027
US,direct_scalar_regression,20260532,0.5,1.189907043591485,0.7054868781875323
US,direct_scalar_regression,20260532,0.55,1.131185936638656,0.7708295322966114
US,direct_scalar_regression,20260532,0.6000000000000001,1.1046426034607908,0.8426453032879545
US,direct_scalar_regression,20260532,0.65,1.1124755288819301,0.9068179608702557
US,direct_scalar_regression,20260532,0.7,1.1179557518992032,0.9648746161796815
US,direct_scalar_regression,20260532,0.75,1.1290738272598857,1.0287982807145784
US,direct_scalar_regression,20260532,0.8,1.168281432359926,1.0867021581342953
US,direct_scalar_regression,20260532,0.8500000000000001,1.192816632363612,1.1469662220825207
US,direct_scalar_regression,20260532,0.9000000000000001,1.242965963306591,1.2087754269183146
US,direct_scalar_regression,20260532,0.95,1.313734651605406,1.2889012142670648
US,direct_scalar_regression,20260532,1.0,1.3713022996934474,1.3713022996934472
US,direct_scalar_regression,20260533,0.2,1.757139478159804,0.22004957945762232
US,direct_scalar_regression,20260533,0.25,1.6806263080624195,0.2957944772938126
US,direct_scalar_regression,20260533,0.30000000000000004,1.608263847300962,0.37869952053634776
US,direct_scalar_regression,20260533,0.35000000000000003,1.4955735683387343,0.4517466753914131
US,direct_scalar_regression,20260533,0.4,1.3696102656801181,0.5238686976610534
US,direct_scalar_regression,20260533,0.45,1.2695747140492009,0.6036888430474576
US,direct_scalar_regression,20260533,0.5,1.1851839181858195,0.6751708428816469
US,direct_scalar_regression,20260533,0.55,1.132927332075231,0.7472875866920659
US,direct_scalar_regression,20260533,0.6000000000000001,1.111344448915691,0.8229706289116773
US,direct_scalar_regression,20260533,0.65,1.1155019120478131,0.8858157564630109
US,direct_scalar_regression,20260533,0.7,1.1075745922923963,0.9445768003033167
US,direct_scalar_regression,20260533,0.75,1.1132003010449232,1.0088494747876164
US,direct_scalar_regression,20260533,0.8,1.132728323145437,1.066783611283512
US,direct_scalar_regression,20260533,0.8500000000000001,1.1748563644579018,1.1239713073248725
US,direct_scalar_regression,20260533,0.9000000000000001,1.237055001253403,1.1864422005420847
US,direct_scalar_regression,20260533,0.95,1.3134104630312036,1.2763664717776677
US,direct_scalar_regression,20260533,1.0,1.3796025241908987,1.3796025241908987
US,unet_3d,20260531,0.2,0.44142368051118813,0.32885280348331264
US,unet_3d,20260531,0.25,0.4364753211707855,0.34427396590965115
US,unet_3d,20260531,0.30000000000000004,0.4399584269485243,0.36034324350911057
US,unet_3d,20260531,0.35000000000000003,0.4445442983410545,0.3748737351342495
US,unet_3d,20260531,0.4,0.45627263414854563,0.3909921691585484
US,unet_3d,20260531,0.45,0.4741929289602255,0.4089616915830397
US,unet_3d,20260531,0.5,0.49080594859654325,0.42598337565903244
US,unet_3d,20260531,0.55,0.5108392987137044,0.4448459975135616
US,unet_3d,20260531,0.6000000000000001,0.5310496546367577,0.46617593072336777
US,unet_3d,20260531,0.65,0.5496111854047123,0.48528791216429845
US,unet_3d,20260531,0.7,0.5690026974348236,0.505199302075138
US,unet_3d,20260531,0.75,0.5946546199404293,0.5282692545168048
US,unet_3d,20260531,0.8,0.621926289200571,0.5508850400417077
US,unet_3d,20260531,0.8500000000000001,0.6580487862444443,0.5764434733640961
US,unet_3d,20260531,0.9000000000000001,0.7049098452329267,0.6053980587538791
US,unet_3d,20260531,0.95,0.7085568726779469,0.647177688647294
US,unet_3d,20260531,1.0,0.6931971342705022,0.6931971342705022
US,unet_3d,20260532,0.2,0.4660922877968749,0.34265135880758985
US,unet_3d,20260532,0.25,0.45856319056781086,0.3570581275136416
US,unet_3d,20260532,0.30000000000000004,0.46092957978900273,0.37233550350038097
US,unet_3d,20260532,0.35000000000000003,0.46394747208775894,0.38743466938288035
