figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm,calibrated_score
Figure 3,3D,PIEZO,sheet piezo,op_conditioned_diffusion_ours,operator-conditioned diffusion,250,750,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6137630228573833,0.7251430054008933,0.3345604016304438,0.898254906791492,2.0579766057297775,0.8123646967720154,3.2750081816149623
Figure 3,3D,US,ultrasound,op_conditioned_diffusion_ours,operator-conditioned diffusion,250,750,250,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.23985371738699568,0.31323639333685593,0.15198216562932843,0.9204615600448933,0.9224330519183784,0.9945945945945946,1.2172739846664207
Figure 3,3D,MMP,soft MMP,SRCNN_3D_proxy,SRCNN 3D proxy,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6391841805752804,0.66909709192759,0.5904626597143084,0.05297897675946439,0.2187128700405509,0.8800557753234978,1.2382984639354848
Figure 3,3D,PIEZO,sheet piezo,SRCNN_3D_proxy,SRCNN 3D proxy,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.0735651013705332,1.326569580260983,1.0512071119540336,0.6519570707070708,3.9359696839235965,0.8212105102929353,2.825960037549378
Figure 3,3D,US,ultrasound,SRCNN_3D_proxy,SRCNN 3D proxy,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.8652886418483089,0.9857060399274185,0.8174733146226763,0.04897193479510542,0.327196930758894,0.7986167935187544,0.9717002703016084
Figure 3,3D,MMP,soft MMP,direct_scalar_regression,direct scalar regression,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.3833813344222334,1.6144675987761534,0.9372324114021858,0.8009259259259258,4.031833389817089,0.45522714720908386,1.2382984639354848
Figure 3,3D,PIEZO,sheet piezo,direct_scalar_regression,direct scalar regression,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.1486045262507643,1.2997021808488014,0.8087486639603098,0.7716049382716049,4.417789359146148,0.34370787886610876,2.825960037549378
Figure 3,3D,US,ultrasound,direct_scalar_regression,direct scalar regression,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.6492810945342435,1.996551136582429,1.1410695206570713,0.7597152076318744,4.529186509648572,0.4798810075735781,0.9717002703016084
Figure 3,3D,MMP,soft MMP,unet_3d,3D U-Net,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.652455014603918,0.7155282458128005,0.6184020117808479,0.03972140100188881,0.2250768094754345,0.8800557753234978,0.903653094069102
Figure 3,3D,PIEZO,sheet piezo,unet_3d,3D U-Net,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.0562431831130776,1.324148876619535,1.0362324946465864,0.6500631313131312,3.9243316930638166,0.8212105102929353,2.5192301169594327
